3800;FOR THE HEART;ELVIS PRESLEY; 
3571;FOREVER YOUNG;ALPHAVILLE;•
3690;FOXY LADY;JIMI HENDRIX; 
3766;FRANCESCA NON SA;TOTO CUTUGNO;•
3505;FREE AS A BIRD;BEATLES; 
3876;FREEDOM;GEORGE MICHAEL; 
3877;FREELOVE;DEPECHE MODE; 
3516;FRIDAY I'M IN LOVE;CURE;•
3585;FRIDAY NIGHT;ARABESQUE;•
3506;FROM ME TO YOU;BEATLES;•
3764;FROM SOUVENIRS TO SOUVENIRS;DEMIS ROUSSOS; 
3788;GEORGIA ON MY MIND;LOUIS ARMSTRONG; 
3517;GIMME GIMME YOUR LOVIN';BAD BOYS BLUE; 
3573;GIVE IT UP;ARABESQUE; 
3756;GIVE PEACE A CHANCE;LOUIS ARMSTRONG; 
3507;GONE TROPPO;GEORGE HARRISON; 
3691;GOZAR LA VIDA;JULIO IGLESIAS;•
3518;GRADUATION TEARS;CHELSIA CHAN; 
3519;GRETA;MYLENE FARMER; 
3705;GYPSY EYES;JIMI HENDRIX; 
3520;HALLELUJAH;ENIGMA; 
3693;HAVE A LITTLE FAITH IN ME;JOE COCKER; 
3508;HAVE YOU EVER SEEN THE RAIN;C.C.R.; 
3509;HE AIN'T HEAVY, HE'S MY BROTHER;HOLLIES; 
3682;HEART OF GOLD;NEIL YOUNG; 
3457;HEARTBREAK HOTEL;ELVIS PRESLEY; 
3695;HELL AND HIGHWATER;JOE COCKER; 
3562;HELL DRIVER;ARABESQUE; 
3818;HELLO;LIONEL RICHIE; 
3575;HELLO AFRICA;DR. ALBAN; 
3541;HELLO, DOLLY!;LOUIS ARMSTRONG; 
3576;HELLO, MR. MONKEY;ARABESQUE; 
3696;HEY JOE;JIMI HENDRIX; 
3577;HEY, CATCH ON;ARABESQUE; 
3578;HI, HI, HI;SANDRA; 
3510;HIGH BALL SHOOTER;DEEP PURPLE; 
3579;HIGH LIFE;ARABESQUE; 
3521;HOME;ERASURE; 
3522;HOT STUFF;DONNA SUMMER; 
3849;HOTEL CALIFORNIA;EAGLES; 
3869;HOUSE OF THE RISING SUN;ANIMALS;•
3757;HOW DEEP IS YOUR LOVE;BEE GEES;•
3580;HOW MUCH IS THE FISH;SCOOTER; 
3852;HOW YOU REMIND ME;NICKELBACK; 
3854;I CAN`T STOP LOVING YOU;RAY CHARLES;•
3888;I FEEL FINE;THE BEATLES;•
3697;I FEEL GOOD;JAMES BROWN;•
3523;I FEEL LOVE;DONNA SUMMER;•
3537;I NEED YOU;F.R. DAVID; 
3581;I ONLY WANNA BE WITH YOU;SAMANTHA FOX; 
3760;I STARTED A JOKE;BEE GEES; 
3582;I SURRENDER;SAMANTHA FOX; 
3542;I SWEAR;ALL FOR ONE;•
3583;I WANNA BE WHERE YOU ARE;MICHAEL JACKSON; 
3543;I WANT YOU, I NEED YOU, I LOVE YOU;ELVIS PRESLEY; 
3511;IF;PINK FLOYD; 
3761;IF YOU LOVE ME;ELVIS PRESLEY; 
3459;IL RE DEGLI IGNORANTI;ADRIANO CELENTANO; 
3763;IL TEMPO SE NE VA;ADRIANO CELENTANO; 
3512;I'LL MEET YOU AT MIDNIGHT;SMOKIE; 
3832;I`M IN LOVE;ARETHA FRANKLIN;•
3525;I'M NOT A GIRL NOT YET A WOMAN;BRITNEY SPEARS;•
3848;IMAGINE;JOHN LENNON; 
3584;IN THE HIT OF THE DISCO NIGHT;ARABESQUE; 
3777;INNAMORATI;TOTO CUTUGNO;•
3765;IT'S A HEARTACHE;BONNIE TYLOR; 
3502;IT'S MY LIFE;DR. ALBAN; 
3812;IT'S SO HARD TO LEAVE YOU;ARABESQUE; 
3754;I'LE BEEN AWAY TOO LONG;G.BAKER SELECTION; 
3536;JAPANESE GIRLS;JOY; 
3545;JINGLE BELLS;FOLK; 
3816;JINGLE JANGLE JOE;ARABESQUE; 
3857;JOE LE TAXI;VANESSA PARADIS; 
3767;JOHNNY;VAYA CON DIOS; 
3698;JOHNNY B. GOODE;CHUCK BERRY;•
3478;JUMPIN' JACK FLASH;ROLLING STONES; 
3476;JUST FOR TODAY;GEORGE HARRISON; 
3500;KALEIDOSCOPE;PROCOL HARUM; 
3768;KALIMBA DE LUNA;BONEY M;•
3514;KEEP LOOKING;SADE; 
3673;KILLING ME SOFTLY WITH HIS SONG;ROBERTA FLACK; 
3527;KNOW BY NOW;ROBERT PALMER; 
3817;KOKOMO;BEACH BOYS; 
3468;LA. WOMAN;THE DOORS;•
3456;LA CAMISA NEGRA;JUANES; 
3769;LA CUCARACHA;LOUIS ARMSTRONG; 
3846;LA ISLA BONITA;MADONNA; 
3699;LA NOVIA;TONY DALLARA; 
3844;LAST CHRISTMAS;WHAM!; 
3770;LAURA;FRANK SINATRA; 
3528;L'AUTRE;MYLENE FARMER; 
3469;LAY BACK IN THE ARMS OF SOMEONE;SMOKIE; 
3529;LET ME BE THERE;OLIVIA NEWTONJOHN; 
3470;LET THERE BE MORE LIGHT;PINK FLOYD; 
3771;LIBERI;TOTO CUTUGNO; 
3547;LIBERIAN GIRL;MICHAEL JACKSON; 
3772;LIBERTA;AL BANO & ROMINA POWER; 
3471;LIFE ITSELF;GEORGE HARRISON; 
3472;LIGHT MY FIRE;THE DOORS;•
3544;LIKE JESUS TO A CHILD;GEORGE MICHAEL; 
3773;L'lTALIANO;TOTO CUTUGNO;•
3473;LITTLE CHILD;BEATLES; 
3474;LITTLE RACHEL;ERIC CLAPTON; 
3475;LITTLE RUSSIAN;ZHIVAGO; 
3489;LIVING NEXT DOOR TO ALICE;SMOKIE;•
3700;LONG HOT SUMMER NIGHT;JIMI HENDRIX; 
3863;LOSING MY RELIGION;R.E.M.; 
3530;LOST IN LOVE;AIR SUPPLY; 
3819;LOST IN HONG KONG;JOY; 
3820;LOVE IS JUST A GAME;ARABESQUE; 
3774;LOVE IS MANY SPLENDORED THING;ANDY WILLIAMS; 
3531;LOVE IS NO CRIME;BAD BOYS BLUE; 
3466;LOVE ME DO;BEATLES; 
3775;LOVE ME TENDER;ELVIS PRESLEY;•
3561;LOVE ME TONIGHT;TOM JONES; 
3479;LOVE ME TWO TIMES;THE DOORS;•
3674;LOVE STORY;ANDY WILLIAMS;•
3839;LOVE OH LOVE;LIONEL RICHIE; 
3532;LOVESONG;CURE;•
3480;LUCIFER SAM;PINK FLOYD; 
3821;LUCIFER'S LOVE;ARABESQUE; 
3842;LUCKY STAR;MADONNA; 
3776;MACARENA;LOS DEL RIO; 
3694;MADONNA MIA;ADRIANO CELENTANO; 
3481;MAGDALENE;PROCOL HARUM; 
3632;MALEDETTO SOGNO;TOTO CUTUGNO; 
3482;MALTED MILK;ERIC CLAPTON; 
3483;MAMA KIN;AEROSMITH; 
3728;MANUELA;JULIO IGLESIAS;•
3822;MARIGOT BAY;ARABESQUE; 
3636;MASSACHUSETTS;BEE GEES; 
3549;MATERIAL GIRL;MADONNA; 
3484;MEAN OLD WORLD;ERIC CLAPTON; 
3485;MEET ME;ERIC CLAPTON; 
3486;MEXICAN GIRL;SMOKIE; 
3759;MINOR EARTH MAJOR SKY;A-HA;•
3823;MIRACLE OF LOVE;EURYTHMiCS;•
3637;MON CREDO;MIREILLE MATHIEU; 
3491;MONEY;PINK FLOYD; 
3638;MOON RIVER;ANDY WILLIAMS; 
3465;MOOREA;ARABESQUE; 
3533;MORE THAN I CAN SAY;LEO SAYER; 
3534;MORNING HAS BROKEN;CAT STEVENS; 
3639;MOSKAU;DSCHINGHIS KHAN; 
3640;MR. LONELY;BOBBY LINTON;•
3538;MUSIC;MADONNA; 
